parti_politique;organisation;nom_elu;prenom_elu;canton_d'origine
PAI;conseil_etat;gnagi;rudolf;bern
PDC;conseil_communal;merz;hans-rudolf;argovie
PDC;conseil_communal;bonvin;roger;valais
PDC;conseil_communal;egli;alphons;lucerne
PDC;conseil_etat;musy;jean-marie;fribourg
PDC;conseil_etat;schobinger;joseph_anton;bern
PLS;conseil_communal;ador;gustave;geneve
PLS;conseil_etat;ador;gustave;geneve
PLS;conseil_etat;ador;gustave;geneve
PRD;conseil_communal;kopp;elisabeth;zurich
PRD;conseil_etat;droz;numa;neuchatel
PRD;conseil_etat;druey;daniel_henri;vaud
PRD;conseil_communal;couchepin;pascal;valais
PRD;conseil_communal;chevallaz;georges-andre;vaud
PRD;syndic;chevallaz;georges-andre;vaud
PRD;conseil_etat;obrecht;hermann;soleure
PRD;conseil_communal;obrecht;hermann;soleure
PRD;conseil_etat;pioda;giovanni_battista;tessin
PRD;conseil_etat;pioda;giovanni_battista;tessin
PRD;conseil_etat;challet-venel;jean-jacques;geneve
PRD;conseil_etat;franscini;stefano;tessin
PRD;conseil_etat;franscini;stefano;tessin
PS;conseil_etat;baume_schneider;elisabeth;jura
PS;conseil_communal;spuhler;willy;zurich
PS;conseil_communal;graber;pierre;neuchatel
PS;syndic;graber;pierre;neuchatel
PS;conseil_communal;graber;pierre;neuchatel
PS;conseil_etat;graber;pierre;neuchatel
UDC;conseil_etat;widmer-schlumpf;eveline;zurich
UDC;conseil_communal;blocher;christophe;schaffouse
