nom_elu,prenom_elu,parti_politique,organisation,debut_mandat,fin_mandat
ador,gustave,PLS,conseil_communal,1870,1878
ador,gustave,PLS,conseil_etat,1879,1880
baume_schneider,elisabeth,PS,conseil_etat,2003,2015
blocher,christophe,UDC,conseil_communal,1974,1978
bonvin,roger,PDC,conseil_communal,1948,1962
challet-venel,jean-jacques,PRD,conseil_etat,1858,1864
chevallaz,georges-andre,PRD,conseil_communal,1949,1957
couchepin,pascal,PRD,conseil_communal,1968,1998
droz,numa,PRD,conseil_etat,1871,1876
druey,daniel_henri,PRD,conseil_etat,1831,1848
egli,alphons,PDC,conseil_communal,1963,1967
franscini,stefano,PRD,conseil_etat,1837,1845
gnagi,rudolf,PAI,conseil_etat,1952,1965
graber,pierre,PS,conseil_communal,1934,1945
graber,pierre,PS,conseil_etat,1962,1970
kopp,elisabeth,PRD,conseil_communal,1970,1979
merz,hans-rudolf,PDC,conseil_communal,,1967
musy,jean-marie,PDC,conseil_etat,1912,1920
obrecht,hermann,PRD,conseil_communal,1917,1935
obrecht,hermann,PRD,conseil_etat,1909,1917
pioda,giovanni_battista,PRD,conseil_etat,1842,1849
schobinger,joseph_anton,PDC,conseil_etat,1874,1908
spuhler,willy,PS,conseil_communal,1942,1959
widmer-schlumpf,eveline,UDC,conseil_etat,1998,2004
