nom_elu,prenom_elu,organisation,epoque
ador,gustave,conseil_des_etats,1878
ador,gustave,conseil_national,1889
baume_schneider,elisabeth,conseil_des_etats,2019
blocher,christophe,conseil_national,1979
bonvin,roger,conseil_national,1955
calonder,felix,conseil_des_etats,1899
challet-venel,jean-jacques,conseil_national,1857
chevallaz,georges-andre,conseil_national,1959
couchepin,pascal,conseil_national,1979
droz,numa,conseil_des_etats,1872
druey,daniel_henri,diete,1832
egli,alphons,conseil_des_etats,1975
franscini,stefano,conseil_national,1848
franscini,stefano,diete,1841
gnagi,rudolf,conseil_national,1953
graber,pierre,conseil_national,1963
kopp,elisabeth,conseil_national,1979
leuthard,doris,conseil_national,1999
merz,hans-rudolf,conseil_des_etats,1997
minger,rudolf,conseil_national,1919
musy,jean-marie,conseil_national,1914
obrecht,hermann,conseil_national,1917
ogi,adolf,conseil_national,1979
pioda,giovanni_battista,conseil_des_etats,1854
pioda,giovanni_battista,conseil_national,1848
pioda,giovanni_battista,diete,1844
schobinger,joseph_anton,conseil_national,1888
spuhler,willy,conseil_des_etats,1955
spuhler,willy,conseil_national,1938
traugott_wahlen,friedrich,conseil_des_etats,1942
villiger,kaspar,conseil_des_etats,1987
villiger,kaspar,conseil_national,1982
weber,max,conseil_national,1939
zemp,joseph,conseil_des_etats,1871
zemp,joseph,conseil_national,1872
